STRUCTURE,STRUCTURE_ID,freq,landuse,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
dataflow,ESTAT:REG_AREA3(1.0),A,TOTAL,KM2,AT,2025,83882,,
dataflow,ESTAT:REG_AREA3(1.0),A,TOTAL,KM2,BE,2025,30667,,
dataflow,ESTAT:REG_AREA3(1.0),A,TOTAL,KM2,BG,2025,110996,,
dataflow,ESTAT:REG_AREA3(1.0),A,TOTAL,KM2,CY,2025,9253,,
dataflow,ESTAT:REG_AREA3(1.0),A,TOTAL,KM2,CZ,2025,78871,,
dataflow,ESTAT:REG_AREA3(1.0),A,TOTAL,KM2,DE,2025,357569,,
dataflow,ESTAT:REG_AREA3(1.0),A,TOTAL,KM2,DK,2025,42925,,
dataflow,ESTAT:REG_AREA3(1.0),A,TOTAL,KM2,EE,2025,45336,,
dataflow,ESTAT:REG_AREA3(1.0),A,TOTAL,KM2,EL,2025,131694,,
dataflow,ESTAT:REG_AREA3(1.0),A,TOTAL,KM2,ES,2025,505983,,
dataflow,ESTAT:REG_AREA3(1.0),A,TOTAL,KM2,FI,2025,338363,,
dataflow,ESTAT:REG_AREA3(1.0),A,TOTAL,KM2,FR,2025,638475,,
dataflow,ESTAT:REG_AREA3(1.0),A,TOTAL,KM2,HR,2025,56594,,
dataflow,ESTAT:REG_AREA3(1.0),A,TOTAL,KM2,HU,2025,93012,,
dataflow,ESTAT:REG_AREA3(1.0),A,TOTAL,KM2,IE,2025,69947,,
dataflow,ESTAT:REG_AREA3(1.0),A,TOTAL,KM2,IT,2025,302073,,
dataflow,ESTAT:REG_AREA3(1.0),A,TOTAL,KM2,LT,2025,65284,,
dataflow,ESTAT:REG_AREA3(1.0),A,TOTAL,KM2,LU,2025,2595,,
dataflow,ESTAT:REG_AREA3(1.0),A,TOTAL,KM2,LV,2025,64594,,
dataflow,ESTAT:REG_AREA3(1.0),A,TOTAL,KM2,MT,2025,316,,
dataflow,ESTAT:REG_AREA3(1.0),A,TOTAL,KM2,NL,2025,37391,,
dataflow,ESTAT:REG_AREA3(1.0),A,TOTAL,KM2,PL,2025,311928,,
dataflow,ESTAT:REG_AREA3(1.0),A,TOTAL,KM2,PT,2025,92226,,
dataflow,ESTAT:REG_AREA3(1.0),A,TOTAL,KM2,RO,2025,238398,,
dataflow,ESTAT:REG_AREA3(1.0),A,TOTAL,KM2,SE,2025,447424,,
dataflow,ESTAT:REG_AREA3(1.0),A,TOTAL,KM2,SI,2025,20273,,
dataflow,ESTAT:REG_AREA3(1.0),A,TOTAL,KM2,SK,2025,49035,,
