geo,TIME_PERIOD,rail_f_total_Nat_mio_tkm,rail_length_km,rail_modal_share_pc,rail_f_total_INT_mio_tkm,total_tkm,TRN_FUL,WAG_FUL
AT,2008,21915.0,0.0,33.6,,,,
AT,2009,17767.0,0.0,32.0,,,,
AT,2010,19833.0,0.0,33.0,,,,
AT,2011,20345.0,0.0,33.1,,,,
AT,2012,19499.0,0.0,32.7,,,,
AT,2013,19356.0,0.0,32.1,19356.0,,,
AT,2013,19356.0,0.0,32.1,96449.0,,,
AT,2014,20746.0,0.0,33.1,20746.0,,,
AT,2014,20746.0,0.0,33.1,100267.0,,,
AT,2015,20814.0,0.0,32.5,20814.0,,,
AT,2015,20814.0,0.0,32.5,100163.0,,,
AT,2016,21361.0,0.0,32.1,21361.0,,,
AT,2016,21361.0,0.0,32.1,102835.0,,,
AT,2017,22256.0,0.0,31.9,22256.0,,,
AT,2017,22256.0,0.0,31.9,107579.0,,,
AT,2018,21996.0,0.0,31.6,21996.0,,,
AT,2018,21996.0,0.0,31.6,105271.0,,,
AT,2019,21736.0,0.0,31.0,21736.0,,,
AT,2019,21736.0,0.0,31.0,102575.0,,,
AT,2020,20498.0,0.0,29.8,20498.0,,,
AT,2020,20498.0,0.0,29.8,97512.0,,,
AT,2021,21980.0,0.0,30.0,21980.0,,,
AT,2021,21980.0,0.0,30.0,105255.0,,,
AT,2022,22167.0,0.0,30.2,22167.0,,,
AT,2022,22167.0,0.0,30.2,103870.0,,,
AT,2023,20205.0,0.0,29.3,20205.0,,,
AT,2023,20205.0,0.0,29.3,92443.0,,,
AT,2024,20997.0,,,20997.0,,,
AT,2024,20997.0,,,94431.0,,,
BE,2008,8927.0,,13.7,,,,
BE,2009,6374.0,,11.0,,,,
BE,2010,7476.0,,12.0,,,,
BE,2011,7593.0,,12.2,,,,
BE,2013,,,11.0,,,,
BE,2013,,,11.0,,,,
BE,2014,,,11.1,,,,
BE,2014,,,11.1,,,,
BE,2015,,,11.2,,,,
BE,2015,,,11.2,,,,
BE,2016,,,11.1,,,,
BE,2016,,,11.1,,,,
BE,2017,,,11.1,,,,
BE,2017,,,11.1,,,,
BE,2018,,,12.3,,,,
BE,2018,,,12.3,,,,
BE,2019,,,12.1,,,,
BE,2019,,,12.1,,,,
BE,2020,,,11.6,,,,
BE,2020,,,11.6,,,,
BE,2021,,,11.8,,,,
BE,2021,,,11.8,,,,
BE,2022,,,12.4,,,,
BE,2022,,,12.4,,,,
BE,2023,,,11.7,,,,
BE,2023,,,11.7,,,,
BE,2024,,,,,,,
BE,2024,,,,,,,
BG,2008,4693.0,286.0,21.7,,,,
BG,2009,3145.0,286.0,18.1,,,,
BG,2010,3064.0,286.0,17.0,,,,
BG,2011,3291.0,279.0,19.0,,,,
BG,2012,2907.0,279.0,16.6,,,,
BG,2013,3246.0,272.0,16.6,3246.0,,,
BG,2013,3246.0,272.0,16.6,13539.0,,,
BG,2014,3439.0,262.0,18.2,3439.0,,,
BG,2014,3439.0,262.0,18.2,13691.0,,,
BG,2015,3650.0,252.0,17.9,3650.0,,,
BG,2015,3650.0,252.0,17.9,14635.0,,,
BG,2016,3434.0,252.0,17.1,3434.0,,,
BG,2016,3434.0,252.0,17.1,14226.0,,,
BG,2017,3931.0,252.0,18.6,3931.0,,,
BG,2017,3931.0,252.0,18.6,16030.0,,,
BG,2018,3824.0,252.0,19.3,3824.0,,,
BG,2018,3824.0,252.0,19.3,14796.0,,,
BG,2019,3902.0,252.0,21.2,3902.0,,,
BG,2019,3902.0,252.0,21.2,14948.0,,,
BG,2020,4503.0,258.0,20.7,4503.0,,,
BG,2020,4503.0,258.0,20.7,16374.0,,,
BG,2021,4657.0,253.0,19.6,4657.0,,,
BG,2021,4657.0,253.0,19.6,18048.0,,,
BG,2022,5239.0,249.0,22.9,5239.0,,,
BG,2022,5239.0,249.0,22.9,19291.0,,,
BG,2023,4555.0,249.0,19.2,4555.0,,,
BG,2023,4555.0,249.0,19.2,17105.0,,,
BG,2024,4369.0,,,4369.0,,,
BG,2024,4369.0,,,15643.0,,,
CZ,2008,15437.0,0.0,32.2,,,,
CZ,2009,12791.0,0.0,30.5,,,,
CZ,2010,13770.0,0.0,30.1,,,,
CZ,2011,14316.0,0.0,30.1,,,,
CZ,2012,14267.0,0.0,30.5,,,,
CZ,2013,13965.0,0.0,28.3,13965.0,,,
CZ,2013,13965.0,0.0,28.3,83957.0,,,
CZ,2014,14575.0,0.0,28.2,14575.0,,,
CZ,2014,14575.0,0.0,28.2,91556.0,,,
CZ,2015,15261.0,0.0,26.3,15261.0,,,
CZ,2015,15261.0,0.0,26.3,97280.0,,,
CZ,2016,15619.0,0.0,26.5,15619.0,,,
CZ,2016,15619.0,0.0,26.5,98034.0,,,
CZ,2017,15843.0,0.0,26.9,15843.0,,,
CZ,2017,15843.0,0.0,26.9,96516.0,,,
CZ,2018,16564.0,0.0,27.6,16564.0,,,
CZ,2018,16564.0,0.0,27.6,99307.0,,,
CZ,2019,16180.0,0.0,26.2,16180.0,,,
CZ,2019,16180.0,0.0,26.2,98804.0,,,
CZ,2020,15251.0,0.0,22.8,15251.0,,,
CZ,2020,15251.0,0.0,22.8,90902.0,,,
CZ,2021,16326.0,0.0,22.8,16326.0,,,
CZ,2021,16326.0,0.0,22.8,99550.0,,,
CZ,2022,16368.0,0.0,22.1,16368.0,,,
CZ,2022,16368.0,0.0,22.1,90797.0,,,
CZ,2023,15038.0,0.0,21.7,15038.0,,,
CZ,2023,15038.0,0.0,21.7,83120.0,,,
CZ,2024,14853.0,,,14853.0,,,
CZ,2024,14853.0,,,80408.0,,,
DE,2008,115969.0,,19.3,,243475.0,175568.0,67907.0
DE,2009,95652.0,,17.8,,,,
DE,2010,107317.0,389.0,18.7,,231615.5,171314.0,60301.5
DE,2011,113160.0,389.0,19.3,,244001.0,176514.5,67486.5
DE,2012,110065.0,389.0,19.1,,238500.5,178389.0,60111.5
DE,2013,110655.0,391.38,18.8,110655.0,242972.0,176170.0,66803.0
DE,2013,110655.0,391.38,18.8,367533.0,242972.0,176170.0,66803.0
DE,2014,112629.0,392.786,18.8,112629.0,238789.5,171320.0,67469.5
DE,2014,112629.0,392.786,18.8,363975.0,238789.5,171320.0,67469.5
DE,2015,114341.0,397.217,19.0,114341.0,,,
DE,2015,114341.0,397.217,19.0,360134.0,,,
DE,2016,135875.0,398.481,21.3,135875.0,231173.5,163224.5,67949.0
DE,2016,135875.0,398.481,21.3,392962.0,231173.5,163224.5,67949.0
DE,2017,126897.0,413.322,19.7,126897.0,242007.5,162097.0,79911.0
DE,2017,126897.0,413.322,19.7,369386.0,242007.5,162097.0,79911.0
DE,2018,127620.0,413.111,20.2,127620.0,255311.5,187925.5,67385.5
DE,2018,127620.0,413.111,20.2,355000.0,255311.5,187925.5,67385.5
DE,2019,128545.0,422.184,19.8,128545.0,244997.5,181475.0,63523.0
DE,2019,128545.0,422.184,19.8,362624.0,244997.5,181475.0,63523.0
DE,2020,109219.0,402.281,17.6,109219.0,,,
DE,2020,109219.0,402.281,17.6,325161.0,,,
DE,2021,123935.0,400.911,19.0,123935.0,,,
DE,2021,123935.0,400.911,19.0,363646.0,,,
DE,2022,128637.0,369.554,19.8,128637.0,,,
DE,2022,128637.0,369.554,19.8,368876.0,,,
DE,2023,129090.0,370.0,20.6,129090.0,,,
DE,2023,129090.0,370.0,20.6,351819.0,,,
DE,2024,126320.0,,,126320.0,,,
DE,2024,126320.0,,,337515.0,,,
DK,2008,1866.0,72.0,9.0,,,,
DK,2009,1700.0,72.0,9.1,,,,
DK,2010,2239.0,72.0,11.5,,,,
DK,2011,2614.0,72.0,12.4,,,,
DK,2012,2278.0,72.0,10.9,,,,
DK,2013,2449.0,72.0,11.3,2449.0,,,
DK,2013,2449.0,72.0,11.3,7956.0,,,
DK,2014,2453.0,72.0,11.2,2453.0,,,
DK,2014,2453.0,72.0,11.2,8082.0,,,
DK,2015,2603.0,30.0,12.0,2603.0,,,
DK,2015,2603.0,30.0,12.0,8652.0,,,
DK,2016,2616.0,30.0,11.3,2616.0,,,
DK,2016,2616.0,30.0,11.3,9383.0,,,
DK,2017,2653.0,30.0,11.5,2653.0,,,
DK,2017,2653.0,30.0,11.5,9314.0,,,
DK,2018,2594.0,30.0,11.8,2594.0,,,
DK,2018,2594.0,30.0,11.8,9097.0,,,
DK,2019,2525.0,30.0,11.5,2525.0,,,
DK,2019,2525.0,30.0,11.5,8512.0,,,
DK,2020,2450.0,4.0,10.8,2450.0,,,
DK,2020,2450.0,4.0,10.8,8615.0,,,
DK,2021,1986.0,4.0,8.7,1986.0,,,
DK,2021,1986.0,4.0,8.7,6936.0,,,
DK,2022,2211.0,4.0,9.6,2211.0,,,
DK,2022,2211.0,4.0,9.6,7759.0,,,
DK,2023,1906.0,4.0,8.2,1906.0,,,
DK,2023,1906.0,4.0,8.2,6756.0,,,
DK,2024,1802.0,,,1802.0,,,
