geo,Observed_freight_total_THST,TIME_PERIOD,Network_length_KM,Modal_Share_PCT,Consignment_full_train_load_THS_T,Consignment_full_wagon_load_THS_T,Consignment_total_THS_T,NST_GT01_MIO_TKM,NST_GT02_MIO_TKM,NST_GT03_MIO_TKM,NST_GT04_MIO_TKM,NST_GT05_MIO_TKM,NST_GT06_MIO_TKM,NST_GT07_MIO_TKM,NST_GT08_MIO_TKM,NST_GT09_MIO_TKM,NST_GT10_MIO_TKM,NST_GT11_MIO_TKM,NST_GT12_MIO_TKM,NST_GT13_MIO_TKM,NST_GT14_MIO_TKM,NST_GT15_MIO_TKM,NST_GT16_MIO_TKM,NST_GT17_MIO_TKM,NST_GT18_MIO_TKM,NST_GT19_MIO_TKM,NST_GT20_MIO_TKM,NST_TOTAL_MIO_TKM
AT,121579.0,2008,5693.0,33.6,,,,,,,,,,,,,,,,,,,,,,,,
AT,98887.0,2009,5693.0,32.0,,,,1890.0,740.0,1247.0,263.0,1.0,1555.0,1394.0,773.0,312.0,1081.0,81.0,980.0,4.0,839.0,11.0,239.0,4.0,23.0,3918.0,0.0,15355.0
AT,107670.0,2010,5828.0,33.0,,,,2039.0,681.0,1633.0,263.0,1.0,1632.0,1449.0,833.0,325.0,1291.0,68.0,1042.0,5.0,1162.0,13.0,420.0,127.0,255.0,4649.0,0.0,17886.0
AT,107587.0,2011,5500.0,33.1,,,,2017.0,733.0,1668.0,288.0,1.0,1520.0,1566.0,870.0,263.0,1424.0,71.0,1080.0,8.0,1242.0,14.0,419.0,167.0,330.0,4607.0,0.0,18288.0
AT,100452.0,2012,5566.0,32.7,,,,1786.0,712.0,1599.0,302.0,2.0,1483.0,1638.0,902.0,241.0,1346.0,63.0,1031.0,7.0,1102.0,11.0,408.0,188.0,370.0,4079.0,0.0,17269.0
AT,96449.0,2013,5531.0,32.1,,,,1649.0,868.0,1789.0,302.0,2.0,1418.0,1596.0,837.0,263.0,1536.0,66.0,1041.0,8.0,1242.0,7.0,204.0,0.0,38.0,5147.0,0.0,18012.0
AT,100267.0,2014,5531.0,33.1,,,,1664.0,915.0,1900.0,230.0,2.0,1339.0,1741.0,951.0,302.0,1629.0,60.0,1298.0,7.0,1283.0,9.0,187.0,0.0,3.0,6004.0,0.0,19522.0
AT,100163.0,2015,5522.0,32.5,,,,1364.0,938.0,1777.0,223.0,1.0,1366.0,1673.0,1027.0,301.0,1648.0,56.0,1468.0,8.0,1191.0,10.0,173.0,0.0,4.0,6506.0,0.0,19736.0
AT,102835.0,2016,5491.0,32.1,,,,1671.0,908.0,1877.0,226.0,1.0,1399.0,1448.0,1043.0,270.0,1776.0,136.0,1439.0,8.0,1243.0,11.0,217.0,0.0,41.0,7646.0,0.0,21361.0
AT,107579.0,2017,5527.0,31.9,,,,1755.0,932.0,1920.0,251.0,1.0,1392.0,1521.0,1051.0,247.0,1959.0,190.0,1209.0,8.0,1334.0,11.0,228.0,0.0,38.0,8208.0,0.0,22256.0
AT,105271.0,2018,5526.0,31.6,,,,1782.0,867.0,1861.0,236.0,1.0,1430.0,1440.0,1148.0,250.0,1977.0,172.0,1119.0,9.0,1324.0,3.0,228.0,0.0,33.0,8118.0,0.0,21996.0
AT,102575.0,2019,5615.0,31.0,,,,1702.0,908.0,1990.0,231.0,1.0,1331.0,1420.0,1129.0,245.0,1610.0,128.0,1329.0,5.0,1273.0,0.0,250.0,1.0,28.0,8157.0,0.0,21736.0
