STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,consign,Type of consignment,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),BE,Belgium,2013,,,,,,C,confidential
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),BE,Belgium,2014,,,,,,C,confidential
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),BE,Belgium,2015,,,,,,C,confidential
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),BE,Belgium,2016,,,,,,C,confidential
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),BE,Belgium,2017,,,,,,C,confidential
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),BE,Belgium,2018,,,,,,C,confidential
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),BE,Belgium,2019,,,,,,C,confidential
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),BE,Belgium,2020,,,,,,C,confidential
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),BE,Belgium,2021,,,,,,C,confidential
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),BE,Belgium,2022,,,,,,C,confidential
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),BE,Belgium,2023,,,,,,C,confidential
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),BE,Belgium,2024,,,,,,C,confidential
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),CH,Switzerland,2008,,11483,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),CH,Switzerland,2009,,9495,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),CH,Switzerland,2010,,10750,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),CH,Switzerland,2011,,11009,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),CH,Switzerland,2012,,10290,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),CH,Switzerland,2013,,11015,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),CH,Switzerland,2014,,11667,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),CH,Switzerland,2015,,11685,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),CH,Switzerland,2016,,11650,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),CH,Switzerland,2017,,10733,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),CH,Switzerland,2018,,11138,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),CH,Switzerland,2019,,10970,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),CH,Switzerland,2020,,10411,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),CH,Switzerland,2021,,11245,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),CH,Switzerland,2022,,11049,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),CH,Switzerland,2023,,10351,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),CH,Switzerland,2024,,9943,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),DE,Germany,2008,,115652,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),DE,Germany,2010,,107292,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),DE,Germany,2011,,113201,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),DE,Germany,2012,,110797,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),DE,Germany,2013,,112670,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),DE,Germany,2014,,112553,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),DE,Germany,2016,,112553,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),DE,Germany,2017,,119883,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),DE,Germany,2018,,122728,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),DE,Germany,2019,,122805,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),FI,Finland,2008,,10777,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),FI,Finland,2009,,8872,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),FI,Finland,2010,,9750,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),FI,Finland,2011,,9395,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),FI,Finland,2012,,9275,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),FI,Finland,2013,,9470,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),FI,Finland,2014,,9597,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),FI,Finland,2015,,8468,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),FI,Finland,2016,,9445,,,,,
