STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),AT,Austria,2008,,21915,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),AT,Austria,2009,,17767,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),AT,Austria,2010,,19833,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),AT,Austria,2011,,20345,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),AT,Austria,2012,,19499,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),AT,Austria,2013,,19356,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),AT,Austria,2014,,20746,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),AT,Austria,2015,,20814,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),AT,Austria,2016,,21361,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),AT,Austria,2017,,22256,,,,,
