STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,tra_infr,Transport infrastructure,tra_meas,Traffic and transport measurement,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:RAIL_IF_LINE_NA(1.0),Length of electric and non-electric railway lines by nature of transport,A,Annual,KM,Kilometre,TOTAL,Total,FR_ONL,Freight only,AL,Albania,2013,,0,,,,,
dataflow,ESTAT:RAIL_IF_LINE_NA(1.0),Length of electric and non-electric railway lines by nature of transport,A,Annual,KM,Kilometre,TOTAL,Total,FR_ONL,Freight only,AL,Albania,2014,,0,,,,,
dataflow,ESTAT:RAIL_IF_LINE_NA(1.0),Length of electric and non-electric railway lines by nature of transport,A,Annual,KM,Kilometre,TOTAL,Total,FR_ONL,Freight only,AL,Albania,2015,,0,,,,,
dataflow,ESTAT:RAIL_IF_LINE_NA(1.0),Length of electric and non-electric railway lines by nature of transport,A,Annual,KM,Kilometre,TOTAL,Total,FR_ONL,Freight only,AL,Albania,2016,,0,,,,,
dataflow,ESTAT:RAIL_IF_LINE_NA(1.0),Length of electric and non-electric railway lines by nature of transport,A,Annual,KM,Kilometre,TOTAL,Total,FR_ONL,Freight only,AL,Albania,2017,,0,,,,,
dataflow,ESTAT:RAIL_IF_LINE_NA(1.0),Length of electric and non-electric railway lines by nature of transport,A,Annual,KM,Kilometre,TOTAL,Total,FR_ONL,Freight only,AL,Albania,2018,,0,,,,,
dataflow,ESTAT:RAIL_IF_LINE_NA(1.0),Length of electric and non-electric railway lines by nature of transport,A,Annual,KM,Kilometre,TOTAL,Total,FR_ONL,Freight only,AL,Albania,2019,,0,,,,,
dataflow,ESTAT:RAIL_IF_LINE_NA(1.0),Length of electric and non-electric railway lines by nature of transport,A,Annual,KM,Kilometre,TOTAL,Total,FR_ONL,Freight only,AL,Albania,2020,,0,,,,,
dataflow,ESTAT:RAIL_IF_LINE_NA(1.0),Length of electric and non-electric railway lines by nature of transport,A,Annual,KM,Kilometre,TOTAL,Total,FR_ONL,Freight only,AL,Albania,2021,,0,,,,,
dataflow,ESTAT:RAIL_IF_LINE_NA(1.0),Length of electric and non-electric railway lines by nature of transport,A,Annual,KM,Kilometre,TOTAL,Total,FR_ONL,Freight only,AL,Albania,2022,,0,,,,,
dataflow,ESTAT:RAIL_IF_LINE_NA(1.0),Length of electric and non-electric railway lines by nature of transport,A,Annual,KM,Kilometre,TOTAL,Total,FR_ONL,Freight only,AL,Albania,2023,,0,,,,,
dataflow,ESTAT:RAIL_IF_LINE_NA(1.0),Length of electric and non-electric railway lines by nature of transport,A,Annual,KM,Kilometre,TOTAL,Total,FR_ONL,Freight only,AT,Austria,2008,,0,,,,,
dataflow,ESTAT:RAIL_IF_LINE_NA(1.0),Length of electric and non-electric railway lines by nature of transport,A,Annual,KM,Kilometre,TOTAL,Total,FR_ONL,Freight only,AT,Austria,2009,,0,,,,,
dataflow,ESTAT:RAIL_IF_LINE_NA(1.0),Length of electric and non-electric railway lines by nature of transport,A,Annual,KM,Kilometre,TOTAL,Total,FR_ONL,Freight only,AT,Austria,2010,,0,,,,,
dataflow,ESTAT:RAIL_IF_LINE_NA(1.0),Length of electric and non-electric railway lines by nature of transport,A,Annual,KM,Kilometre,TOTAL,Total,FR_ONL,Freight only,AT,Austria,2011,,0,,,,,
dataflow,ESTAT:RAIL_IF_LINE_NA(1.0),Length of electric and non-electric railway lines by nature of transport,A,Annual,KM,Kilometre,TOTAL,Total,FR_ONL,Freight only,AT,Austria,2012,,0,,,,,
dataflow,ESTAT:RAIL_IF_LINE_NA(1.0),Length of electric and non-electric railway lines by nature of transport,A,Annual,KM,Kilometre,TOTAL,Total,FR_ONL,Freight only,AT,Austria,2013,,0,,,,,
dataflow,ESTAT:RAIL_IF_LINE_NA(1.0),Length of electric and non-electric railway lines by nature of transport,A,Annual,KM,Kilometre,TOTAL,Total,FR_ONL,Freight only,AT,Austria,2014,,0,,,,,
dataflow,ESTAT:RAIL_IF_LINE_NA(1.0),Length of electric and non-electric railway lines by nature of transport,A,Annual,KM,Kilometre,TOTAL,Total,FR_ONL,Freight only,AT,Austria,2015,,0,,,,,
dataflow,ESTAT:RAIL_IF_LINE_NA(1.0),Length of electric and non-electric railway lines by nature of transport,A,Annual,KM,Kilometre,TOTAL,Total,FR_ONL,Freight only,AT,Austria,2016,,0,,,,,
dataflow,ESTAT:RAIL_IF_LINE_NA(1.0),Length of electric and non-electric railway lines by nature of transport,A,Annual,KM,Kilometre,TOTAL,Total,FR_ONL,Freight only,AT,Austria,2017,,0,,,,,
dataflow,ESTAT:RAIL_IF_LINE_NA(1.0),Length of electric and non-electric railway lines by nature of transport,A,Annual,KM,Kilometre,TOTAL,Total,FR_ONL,Freight only,AT,Austria,2018,,0,,,,,
dataflow,ESTAT:RAIL_IF_LINE_NA(1.0),Length of electric and non-electric railway lines by nature of transport,A,Annual,KM,Kilometre,TOTAL,Total,FR_ONL,Freight only,AT,Austria,2019,,0,,,,,
dataflow,ESTAT:RAIL_IF_LINE_NA(1.0),Length of electric and non-electric railway lines by nature of transport,A,Annual,KM,Kilometre,TOTAL,Total,FR_ONL,Freight only,AT,Austria,2020,,0,,,,,
dataflow,ESTAT:RAIL_IF_LINE_NA(1.0),Length of electric and non-electric railway lines by nature of transport,A,Annual,KM,Kilometre,TOTAL,Total,FR_ONL,Freight only,AT,Austria,2021,,0,,,,,
dataflow,ESTAT:RAIL_IF_LINE_NA(1.0),Length of electric and non-electric railway lines by nature of transport,A,Annual,KM,Kilometre,TOTAL,Total,FR_ONL,Freight only,AT,Austria,2022,,0,,,,,
dataflow,ESTAT:RAIL_IF_LINE_NA(1.0),Length of electric and non-electric railway lines by nature of transport,A,Annual,KM,Kilometre,TOTAL,Total,FR_ONL,Freight only,AT,Austria,2023,,0,,,,,
dataflow,ESTAT:RAIL_IF_LINE_NA(1.0),Length of electric and non-electric railway lines by nature of transport,A,Annual,KM,Kilometre,TOTAL,Total,FR_ONL,Freight only,BA,Bosnia and Herzegovina,2008,,0,,,,,
dataflow,ESTAT:RAIL_IF_LINE_NA(1.0),Length of electric and non-electric railway lines by nature of transport,A,Annual,KM,Kilometre,TOTAL,Total,FR_ONL,Freight only,BA,Bosnia and Herzegovina,2009,,0,,,,,
dataflow,ESTAT:RAIL_IF_LINE_NA(1.0),Length of electric and non-electric railway lines by nature of transport,A,Annual,KM,Kilometre,TOTAL,Total,FR_ONL,Freight only,BA,Bosnia and Herzegovina,2010,,0,,,,,
dataflow,ESTAT:RAIL_IF_LINE_NA(1.0),Length of electric and non-electric railway lines by nature of transport,A,Annual,KM,Kilometre,TOTAL,Total,FR_ONL,Freight only,BA,Bosnia and Herzegovina,2011,,0,,,,,
dataflow,ESTAT:RAIL_IF_LINE_NA(1.0),Length of electric and non-electric railway lines by nature of transport,A,Annual,KM,Kilometre,TOTAL,Total,FR_ONL,Freight only,BA,Bosnia and Herzegovina,2012,,0,,,,,
dataflow,ESTAT:RAIL_IF_LINE_NA(1.0),Length of electric and non-electric railway lines by nature of transport,A,Annual,KM,Kilometre,TOTAL,Total,FR_ONL,Freight only,BA,Bosnia and Herzegovina,2013,,0,,,,,
