STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,tra_mode,Mode of transport,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,IWW,Inland waterways,AT,Austria,2008,,3.6,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,IWW,Inland waterways,AT,Austria,2009,,3.6,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,IWW,Inland waterways,AT,Austria,2010,,4.0,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,IWW,Inland waterways,AT,Austria,2011,,3.4,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,IWW,Inland waterways,AT,Austria,2012,,3.7,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,IWW,Inland waterways,AT,Austria,2013,,3.9,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,IWW,Inland waterways,AT,Austria,2014,,3.5,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,IWW,Inland waterways,AT,Austria,2015,,2.8,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,IWW,Inland waterways,AT,Austria,2016,,3.0,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,IWW,Inland waterways,AT,Austria,2017,,2.9,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,IWW,Inland waterways,AT,Austria,2018,,2.1,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,IWW,Inland waterways,AT,Austria,2019,,2.4,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,IWW,Inland waterways,AT,Austria,2020,,2.3,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,IWW,Inland waterways,AT,Austria,2021,,2.1,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,IWW,Inland waterways,AT,Austria,2022,,1.7,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,IWW,Inland waterways,AT,Austria,2023,,1.7,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,IWW,Inland waterways,BE,Belgium,2008,,13.5,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,IWW,Inland waterways,BE,Belgium,2009,,12.2,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,IWW,Inland waterways,BE,Belgium,2010,,14.6,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,IWW,Inland waterways,BE,Belgium,2011,,14.8,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,IWW,Inland waterways,BE,Belgium,2012,,16.4,,e,estimated,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,IWW,Inland waterways,BE,Belgium,2013,,15.9,,e,estimated,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,IWW,Inland waterways,BE,Belgium,2014,,15.9,,e,estimated,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,IWW,Inland waterways,BE,Belgium,2015,,15.2,,e,estimated,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,IWW,Inland waterways,BE,Belgium,2016,,14.7,,e,estimated,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,IWW,Inland waterways,BE,Belgium,2017,,15.6,,e,estimated,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,IWW,Inland waterways,BE,Belgium,2018,,11.9,,be,"break in time series, estimated",,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,IWW,Inland waterways,BE,Belgium,2019,,11.3,,e,estimated,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,IWW,Inland waterways,BE,Belgium,2020,,11.0,,e,estimated,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,IWW,Inland waterways,BE,Belgium,2021,,11.5,,e,estimated,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,IWW,Inland waterways,BE,Belgium,2022,,11.2,,e,estimated,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,IWW,Inland waterways,BE,Belgium,2023,,10.7,,e,estimated,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,IWW,Inland waterways,BG,Bulgaria,2008,,33.2,,e,estimated,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,IWW,Inland waterways,BG,Bulgaria,2009,,31.4,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,IWW,Inland waterways,BG,Bulgaria,2010,,33.6,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,IWW,Inland waterways,BG,Bulgaria,2011,,24.9,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,IWW,Inland waterways,BG,Bulgaria,2012,,30.5,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,IWW,Inland waterways,BG,Bulgaria,2013,,27.5,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,IWW,Inland waterways,BG,Bulgaria,2014,,26.9,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,IWW,Inland waterways,BG,Bulgaria,2015,,27.4,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,IWW,Inland waterways,BG,Bulgaria,2016,,27.3,,,,,
