geo,TIME_PERIOD,Network_length_KM,Consignment_full_train_load_THS_T,Consignment_full_wagon_load_THS_T,Consignment_total_THS_T,uncertainty_estimate_NL,uncertainty_estimate_FULL_TR,uncertainty_estimate_FULL_WG,uncertainty_estimate_TOTAL
CH,2008,5146.0,37705.0,25631.0,63336.0,,,,
CH,2009,5188.0,35765.0,20875.0,56640.0,,,,
CH,2010,5124.0,39125.0,21293.0,60418.0,,,,
CH,2011,5140.0,40349.0,20766.0,61114.0,,,,
CH,2012,5147.0,34013.0,21593.0,55607.0,,,,
CH,2013,5181.0,36401.0,23104.0,59505.0,,,,
CH,2014,5187.0,38197.0,22149.0,60345.0,,,,
CH,2015,5205.0,39475.0,21357.0,60832.0,,,,
CH,2016,5249.0,40040.0,21108.0,61148.0,,,,
CH,2017,5251.0,44459.0,14638.0,59097.0,,,,
CH,2018,5248.0,40377.0,20404.0,60781.0,,,,
CH,2019,5288.0,40423.0,19577.0,60000.0,,,,
CH,2020,5303.0,37688.0,18526.0,56214.0,,,,
CH,2021,5318.0,40139.0,18292.0,58431.0,,,,
CH,2022,5318.0,38424.0,18089.0,56513.0,,,,
CH,2023,5318.0,37159.0,16131.0,53290.0,,,,
CH,2024,5343.550003744871,35838.0,15376.0,51215.0,11.975782958573934,,,
DE,2008,37798.0,267134.0,104164.0,371298.0,,,,
DE,2009,37934.0,265869.85020946997,100361.31595838009,366231.0598255298,,7031.826425852236,4408.367552559633,5969.904182256463
DE,2010,38750.0,262955.0,92984.0,355939.0,,,,
DE,2011,38712.0,269220.0,105581.0,374801.0,,,,
DE,2012,38648.0,270644.0,95560.0,366204.0,,,,
DE,2013,38653.801,267938.0,105337.0,373274.0,,,,
DE,2014,38658.765,257216.0,107810.0,365026.0,,,,
DE,2015,38630.502,261849.28744763264,106037.29621925285,367886.3599236227,,4350.974823551568,2727.697302688329,3693.906514110706
DE,2016,38696.542,243435.0,106359.0,349794.0,,,,
DE,2017,38802.643,240100.0,124033.0,364132.0,,,,
DE,2018,38994.798,280570.0,107325.0,387895.0,,,,
DE,2019,39068.117,267322.0,99868.0,367190.0,,,,
DE,2020,38799.773,258498.8184794349,110767.27976998014,369265.7766720334,,8438.19152224884,5290.041062846579,7163.884511065024
DE,2021,38783.143,257828.72468579534,111713.27648012561,369541.66002171556,,9493.89545133233,5951.879284418061,8060.159433437818
DE,2022,38836.096,257158.6308921558,112659.27319027107,369817.5433713977,,10577.832676104581,6631.417418955521,8980.403968362998
DE,2023,38691.0,256488.53709851624,113605.26990041653,370093.42672107986,,11682.14689235945,7323.7302210709895,9917.948241220913
DE,2024,39046.32693667335,255818.4433048767,114551.26661056199,370369.310070762,134.60625683572547,12801.565783677479,8025.512389629109,10868.316140694382
IT,2008,16529.0,55967.0,9912.0,65888.0,,,,
IT,2009,16686.0,43207.0,6308.0,62269.0,,,,
IT,2010,16704.0,44818.0,4986.0,64444.0,,,,
