geo,TIME_PERIOD,NST2007_desc,Volume_MIO_TKM,Consignment_full_train_load_THS_T,Consignment_full_wagon_load_THS_T,Consignment_total_THS_T,train_share,wagon_share
DE,2008,Agriculture and forestry products,3799.0,267134.0,104164.0,371298.0,0.7194598408825257,0.2805401591174744
DE,2009,Agriculture and forestry products,3320.0,265869.85020946997,100361.31595838009,366231.16616785,0.7259618371409091,0.27403816285909094
DE,2010,Agriculture and forestry products,2783.0,262955.0,92984.0,355939.0,0.738764226454533,0.26123577354546706
DE,2011,Agriculture and forestry products,2190.0,269220.0,105581.0,374801.0,0.7183011784920531,0.2816988215079469
DE,2012,Agriculture and forestry products,1661.0,270644.0,95560.0,366204.0,0.7390525499448395,0.2609474500551605
DE,2013,Agriculture and forestry products,1490.0,267938.0,105337.0,373275.0,0.717803228182975,0.28219677181702496
DE,2014,Agriculture and forestry products,1486.0,257216.0,107810.0,365026.0,0.7046511755327017,0.2953488244672982
DE,2015,Agriculture and forestry products,1473.0,261849.28744763264,106037.29621925285,367886.5836668855,0.7117663406957301,0.28823365930426986
DE,2016,Agriculture and forestry products,1552.0,243435.0,106359.0,349794.0,0.6959381807578174,0.30406181924218256
DE,2017,Agriculture and forestry products,1547.0,240100.0,124033.0,364133.0,0.6593744593321671,0.3406255406678329
DE,2018,Agriculture and forestry products,1386.0,280570.0,107325.0,387895.0,0.7233142989726601,0.27668570102733986
DE,2019,Agriculture and forestry products,2248.0,267322.0,99868.0,367190.0,0.7280209156022768,0.2719790843977232
DE,2020,Agriculture and forestry products,2680.0,258498.8184794349,110767.27976998014,369266.09824941505,0.700033985532124,0.29996601446787596
DE,2021,Agriculture and forestry products,4005.0,257828.72468579534,111713.27648012561,369542.001165921,0.6976980258599417,0.3023019741400582
DE,2022,Agriculture and forestry products,3914.0,257158.6308921558,112659.27319027107,369817.90408242686,0.6953655516765868,0.30463444832341324
DE,2023,Agriculture and forestry products,3830.0,256488.53709851624,113605.26990041653,370093.8069989328,0.6930365551868202,0.30696344481317983
DE,2024,Agriculture and forestry products,3475.0,255818.4433048767,114551.26661056199,370369.70991543867,0.6907110286186312,0.30928897138136885
FI,2008,Agriculture and forestry products,2908.0,0.0,41937.0,41937.0,0.0,1.0
FI,2009,Agriculture and forestry products,2508.0,0.0,32860.0,32860.0,0.0,1.0
FI,2010,Agriculture and forestry products,2845.0,0.0,35795.0,35795.0,0.0,1.0
FI,2011,Agriculture and forestry products,2519.0,0.0,34827.0,34827.0,0.0,1.0
FI,2012,Agriculture and forestry products,2559.0,0.0,35267.0,35267.0,0.0,1.0
FI,2013,Agriculture and forestry products,2584.0,0.0,36433.0,36433.0,0.0,1.0
FI,2014,Agriculture and forestry products,2570.0,0.0,37008.0,37008.0,0.0,1.0
FI,2015,Agriculture and forestry products,2504.0,0.0,33392.0,33392.0,0.0,1.0
FI,2016,Agriculture and forestry products,2704.0,0.0,36147.0,36147.0,0.0,1.0
FI,2017,Agriculture and forestry products,2843.0,0.0,38406.0,38406.0,0.0,1.0
FI,2018,Agriculture and forestry products,3122.0,0.0,39430.0,39430.0,0.0,1.0
FI,2019,Agriculture and forestry products,3115.0,0.0,36907.0,36907.0,0.0,1.0
FI,2020,Agriculture and forestry products,3055.0,0.0,36589.0,36589.0,0.0,1.0
FI,2021,Agriculture and forestry products,3359.0,0.0,37352.0,37352.0,0.0,1.0
FI,2022,Agriculture and forestry products,3687.0,0.0,33029.534449823506,33029.534449823506,0.0,1.0
FI,2023,Agriculture and forestry products,3716.0,0.0,27066.0,27066.0,0.0,1.0
FI,2024,Agriculture and forestry products,3799.0,0.0,26640.0,26640.0,0.0,1.0
HR,2008,Agriculture and forestry products,388.0,0.0,0.0,0.0,,
HR,2009,Agriculture and forestry products,505.0,0.0,0.0,0.0,,
HR,2010,Agriculture and forestry products,486.0,0.0,0.0,0.0,,
HR,2011,Agriculture and forestry products,322.0,0.0,0.0,0.0,,
HR,2012,Agriculture and forestry products,330.0,0.0,0.0,0.0,,
HR,2013,Agriculture and forestry products,292.0,0.0,0.0,0.0,,
HR,2014,Agriculture and forestry products,279.0,0.0,0.0,0.0,,
HR,2015,Agriculture and forestry products,209.0,0.0,0.0,0.0,,
HR,2016,Agriculture and forestry products,286.0,0.0,0.0,0.0,,
HR,2017,Agriculture and forestry products,396.0,0.0,0.0,0.0,,
HR,2018,Agriculture and forestry products,424.0,0.0,0.0,0.0,,
HR,2019,Agriculture and forestry products,615.0,0.0,0.0,0.0,,
HR,2020,Agriculture and forestry products,798.0,0.0,0.0,0.0,,
HR,2021,Agriculture and forestry products,779.0,0.0,0.0,0.0,,
HR,2022,Agriculture and forestry products,813.0,0.0,0.0,0.0,,
HR,2023,Agriculture and forestry products,734.0,0.0,0.0,0.0,,
HR,2024,Agriculture and forestry products,898.0,0.0,0.0,0.0,,
IE,2008,Agriculture and forestry products,13.0,679.9249995366081,0.0,679.9249995366081,1.0,0.0
IE,2009,Agriculture and forestry products,7.0,631.0,0.0,631.0,1.0,0.0
IE,2010,Agriculture and forestry products,18.0,568.0,0.0,568.0,1.0,0.0
IE,2011,Agriculture and forestry products,23.0,611.0,0.0,611.0,1.0,0.0
IE,2012,Agriculture and forestry products,14.0,567.0,0.0,567.0,1.0,0.0
IE,2013,Agriculture and forestry products,17.0,589.0,0.0,589.0,1.0,0.0
IE,2014,Agriculture and forestry products,17.0,578.0,0.0,578.0,1.0,0.0
IE,2015,Agriculture and forestry products,21.0,540.0,0.0,540.0,1.0,0.0
IE,2016,Agriculture and forestry products,16.0,581.0,0.0,581.0,1.0,0.0
IE,2017,Agriculture and forestry products,17.0,546.0,0.0,546.0,1.0,0.0
IE,2018,Agriculture and forestry products,15.0,516.0,0.0,516.0,1.0,0.0
IE,2019,Agriculture and forestry products,16.0,346.0,0.0,346.0,1.0,0.0
IE,2020,Agriculture and forestry products,13.0,449.0,0.0,449.0,1.0,0.0
IE,2021,Agriculture and forestry products,17.0,415.0,0.0,415.0,1.0,0.0
IE,2022,Agriculture and forestry products,17.0,419.0,0.0,419.0,1.0,0.0
IE,2023,Agriculture and forestry products,15.0,344.0,0.0,344.0,1.0,0.0
IE,2024,Agriculture and forestry products,15.0,221.0,0.0,221.0,1.0,0.0
IT,2008,Agriculture and forestry products,,55967.0,9912.0,65879.0,0.849542342779945,0.15045765722005494
IT,2009,Agriculture and forestry products,511.0,43207.0,6308.0,49515.0,0.8726042613349491,0.127395738665051
IT,2010,Agriculture and forestry products,499.0,44818.0,4986.0,49804.0,0.8998875592321902,0.10011244076780981
IT,2011,Agriculture and forestry products,490.0,60186.0,3624.0,63810.0,0.9432063939821345,0.05679360601786554
IT,2012,Agriculture and forestry products,376.0,59948.0,3980.0,63928.0,0.9377424602678013,0.062257539732198726
IT,2013,Agriculture and forestry products,555.0,61267.0,3586.0,64853.0,0.9447057190877831,0.05529428091221686
IT,2014,Agriculture and forestry products,1068.0,62993.0,3564.0,66557.0,0.946451913397539,0.05354808660246105
IT,2015,Agriculture and forestry products,703.0,62648.0,5837.972606497418,68485.97260649742,0.9147566664484581,0.08524333355154186
IT,2016,Agriculture and forestry products,866.0,86911.0,5352.0,92263.0,0.9419919144185643,0.05800808558143568
IT,2017,Agriculture and forestry products,1036.0,86889.0,5675.0,92564.0,0.9386910678017372,0.061308932198262826
IT,2018,Agriculture and forestry products,1579.0,87962.0,6153.86642211608,94115.86642211609,0.9346139322086716,0.06538606779132829
IT,2019,Agriculture and forestry products,1260.0,85671.0,6028.0,91699.0,0.9342631871667084,0.06573681283329152
IT,2020,Agriculture and forestry products,1144.0,82039.0,6660.0,88699.0,0.9249145988117116,0.07508540118828848
IT,2021,Agriculture and forestry products,1397.0,92432.0,6469.76023773474,98901.76023773474,0.9345839728010596,0.06541602719894042
IT,2022,Agriculture and forestry products,1571.0,95384.0,8321.0,103705.0,0.9197627886794272,0.08023721132057278
IT,2023,Agriculture and forestry products,1510.0,87827.0,7512.0,95339.0,0.9212074806742256,0.07879251932577434
IT,2024,Agriculture and forestry products,1785.0,87461.0,7066.0,94527.0,0.9252488706930295,0.07475112930697049
LT,2008,Agriculture and forestry products,777.0,0.0,54970.0,54970.0,0.0,1.0
LT,2009,Agriculture and forestry products,549.0,0.0,42669.0,42669.0,0.0,1.0
